TRACK;1715.354;4800;1715.354;4800
TRACK;1715.354;4800;731.102;4800
TRACK;731.102;4800;731.102;4800
TRACK;652.362;4721.26;652.362;4012.598
TRACK;652.362;4012.598;652.362;4012.598
TRACK;573.622;3933.858;573.622;3933.858
TRACK;573.622;3933.858;-121.26;3933.858
TRACK;-200;3855.118;-200;2760.146
TRACK;-200;2760.146;-200;2760.146
TRACK;-278.74;2681.406;-1238.091;2681.406
TRACK;-1238.091;2681.406;-1238.091;2681.406
TRACK;-1316.831;2602.666;-1316.831;2602.666
TRACK;-1316.831;2602.666;-1316.831;-121.26
